"","section","category","corr_full","corr_old","corr_rec"
"1","E13ABetn01r01","below_ground",-0.00438788984759931,-0.00438788984759931,NA
"2","E13ABetn01r02","below_ground",-0.0725692133539908,-0.0725692133539908,NA
"3","E13ABetn01r03","below_ground",-0.154657532342765,-0.154657532342765,NA
"4","E13ABetn01r04","below_ground",0.312280701754386,0.312280701754386,NA
"5","E13ABetn01r05","below_ground",-0.0773287661713824,-0.0773287661713824,NA
"6","E13ABetn01r06","below_ground",-0.254385964912281,-0.254385964912281,NA
"7","E13ABetn01r07","below_ground",-0.254385964912281,-0.254385964912281,NA
"8","E13ABetn01r08","below_ground",0.212280701754386,0.212280701754386,NA
"9","E13ABetn01r09","below_ground",0.363157894736842,0.363157894736842,NA
"10","E13ABetn01s01",NA,1,NA,NA
"11","E13ABetn01s02","above_ground",0.114235677298633,0.114235677298633,NA
"12","E13ABetn01s03","above_ground",-0.043859649122807,-0.043859649122807,NA
"13","E13ABetn01s04","above_ground",0.250877192982456,0.250877192982456,NA
"14","E13ABetn01s06","above_ground",0.545614035087719,0.545614035087719,NA
"15","E13ABetn01t01","above_ground",0.265221878224974,0.265221878224974,NA
"16","E13ABetn01t02","above_ground",0.326315789473684,0.326315789473684,NA
"17","E13ABetn01t03","above_ground",0.166666666666667,0.166666666666667,NA
"18","E13ABetn01t04","above_ground",0.446852425180599,0.446852425180599,NA
"19","E13ABetn01t05","above_ground",0.345588235294118,0.345588235294118,NA
"20","E13ABetn01t06","above_ground",0.159313725490196,0.159313725490196,NA
"21","E13ABetn02r01","below_ground",0.345614035087719,0.345614035087719,NA
"22","E13ABetn02r02","below_ground",0.342105263157895,0.342105263157895,NA
"23","E13ABetn02r03","below_ground",0.435087719298246,0.435087719298246,NA
"24","E13ABetn02r04","below_ground",0.383128886940031,0.383128886940031,NA
"25","E13ABetn02s00","above_ground",0.152631578947368,0.152631578947368,NA
"26","E13ABetn02s01",NA,1,NA,NA
"27","E13ABetn02s02","above_ground",0.184210526315789,0.184210526315789,NA
"28","E13ABetn02s03","above_ground",0.221052631578947,0.221052631578947,NA
"29","E13ABetn02s04","above_ground",-0.00701754385964912,-0.00701754385964912,NA
