"scientificName","decimalLongitude","decimalLatitude","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","references"
"Betula nana L.",-53.654,66.927,NA,"PRESENT",215,"iNaturalist","https://www.inaturalist.org/observations/169611977"
"Betula nana L.",10.904,63.286,NA,"PRESENT",10,"iNaturalist","https://www.inaturalist.org/observations/169658493"
"Betula nana L.",32.69,67.11,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169737068"
"Betula nana L.",-17.546,65.685,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169828798"
"Betula nana L.",6.952,47.176,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/169837231"
"Betula nana L.",19.925,67.994,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169921644"
"Betula nana L.",18.786,68.361,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169922482"
"Betula nana L.",85.224,50.075,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169928773"
"Betula nana L.",85.225,50.079,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169928798"
"Betula nana L.",7.817,61.509,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/169945746"
"Betula nana L.",32.45,67.435,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169977080"
"Betula nana L.",19.371,68.253,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170162024"
"Betula nana L.",30.881,70.438,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/170249739"
"Betula nana L.",85.646,50.346,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170301168"
"Betula nana L.",27.676,69.695,NA,"PRESENT",80814,"iNaturalist","https://www.inaturalist.org/observations/170326535"
"Betula nana L.",108.336,53.009,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170372064"
"Betula nana L.",108.333,53.003,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170373005"
"Betula nana L.",9.532,62.233,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/170470074"
"Betula nana L.",-50.905,69.284,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170636428"
"Betula nana L.",-51.068,69.24,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170638602"
"Betula nana L.",-51.069,69.24,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170638607"
"Betula nana L.",-51.071,69.24,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170638635"
"Betula nana L.",-50.261,67.091,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170642587"
"Betula nana L.",-51.17,68.809,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/170851808"
"Betula nana L.",16.028,66.567,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/170864810"
"Betula nana L.",6.951,47.177,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/170915711"
"Betula nana L.",32.689,67.11,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/171368100"
"Betula nana L.",34.837,68.853,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/171392783"
"Betula nana L.",35.898,69.046,NA,"PRESENT",244,"iNaturalist","https://www.inaturalist.org/observations/171393162"
"Betula nana L.",36.086,69.116,NA,"PRESENT",61,"iNaturalist","https://www.inaturalist.org/observations/171393660"
"Betula nana L.",35.81,69.021,NA,"PRESENT",31,"iNaturalist","https://www.inaturalist.org/observations/171394240"
"Betula nana L.",35.121,69.18,NA,"PRESENT",15,"iNaturalist","https://www.inaturalist.org/observations/171405733"
"Betula nana L.",35.179,69.175,NA,"PRESENT",15,"iNaturalist","https://www.inaturalist.org/observations/171406291"
"Betula nana L.",31.817,69.647,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/171434485"
"Betula nana L.",31.883,69.804,NA,"PRESENT",488,"iNaturalist","https://www.inaturalist.org/observations/171438499"
"Betula nana L.",75.761,65.98,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/171521145"
"Betula nana L.",31.977,69.861,NA,"PRESENT",122,"iNaturalist","https://www.inaturalist.org/observations/171524579"
"Betula nana L.",31.98,69.862,NA,"PRESENT",122,"iNaturalist","https://www.inaturalist.org/observations/171524656"
"Betula nana L.",32.062,69.94,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/171528212"
"Betula nana L.",32.096,69.933,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/171529860"
"Betula nana L.",75.757,65.978,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/171534130"
"Betula nana L.",32.258,69.811,NA,"PRESENT",61,"iNaturalist","https://www.inaturalist.org/observations/171536404"
"Betula nana L.",32.433,69.733,NA,"PRESENT",15,"iNaturalist","https://www.inaturalist.org/observations/171536430"
"Betula nana L.",32.624,69.761,NA,"PRESENT",15,"iNaturalist","https://www.inaturalist.org/observations/171536481"
"Betula nana L.",32.932,69.748,NA,"PRESENT",122,"iNaturalist","https://www.inaturalist.org/observations/171536741"
"Betula nana L.",32.927,69.749,NA,"PRESENT",61,"iNaturalist","https://www.inaturalist.org/observations/171536808"
"Betula nana L.",33.045,69.73,NA,"PRESENT",31,"iNaturalist","https://www.inaturalist.org/observations/171536892"
"Betula nana L.",33.079,69.711,NA,"PRESENT",31,"iNaturalist","https://www.inaturalist.org/observations/171536943"
"Betula nana L.",-93.807,58.616,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/172587294"
"Betula nana L.",-93.839,58.626,NA,"PRESENT",50,"iNaturalist","https://www.inaturalist.org/observations/172713220"
"Betula nana L.",97.004,68.769,NA,"PRESENT",15,"iNaturalist","https://www.inaturalist.org/observations/177698265"
"Betula nana L.",-144.575,65.188,NA,"PRESENT",12,"iNaturalist","https://www.inaturalist.org/observations/177855762"
"Betula nana L.",166.455,68.061,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/178955639"
"Betula nana L.",166.49,65.584,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/178977347"
"Betula nana L.",29.208,63.82,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/179816820"
"Betula nana L.",32.571,67.666,NA,"PRESENT",26,"iNaturalist","https://www.inaturalist.org/observations/181871178"
"Betula nana L.",-133.369,59.709,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/185065380"
"Betula nana L.",32.707,67.105,NA,"PRESENT",373,"iNaturalist","https://www.inaturalist.org/observations/185776856"
"Betula nana L.",30.558,69.435,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/187877994"
"Betula nana L.",30.543,69.434,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/187878396"
"Betula nana L.",30.278,69.413,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/187882237"
"Betula nana L.",30.05,69.344,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/188110904"
"Betula nana L.",30.102,69.259,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/188111528"
"Betula nana L.",30.828,69.425,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/188379759"
"Betula nana L.",30.811,62.788,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/189780841"
"Betula nana L.",30.039,62.619,NA,"PRESENT",61,"iNaturalist","https://www.inaturalist.org/observations/190050914"
"Betula nana L.",-20.3,64.313,NA,"PRESENT",967,"iNaturalist","https://www.inaturalist.org/observations/191468964"
"Betula nana L.",7.582,62.653,1,"PRESENT",NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.276915282"
"Betula nana L.",13.776,46.979,1,"PRESENT",4,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.277936868"
"Betula nana L.",15.319,66.55,1,"PRESENT",5,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.278036928"
"Betula nana L.",7.785,60.436,1,"PRESENT",NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.278657983"
"Betula nana L.",18.784,68.36,1,"PRESENT",5,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.279312601"
"Betula nana L.",25.69,59.405,1,"PRESENT",25,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.288392826"
"Betula nana L.",9.577,59.538,NA,"PRESENT",NA,"BioFokus",NA
"Betula nana L.",9.577,59.536,NA,"PRESENT",NA,"BioFokus",NA
"Betula nana L.",13.78,46.98,NA,"PRESENT",1000,"HNS",NA
"Betula nana L.",27.86,70.054,NA,"PRESENT",1000,NA,NA
"Betula nana L.",26.623,63.916,NA,"PRESENT",1000,NA,NA
"Betula nana L.",23.576,60.736,10,"PRESENT",1,NA,NA
"Betula nana L.",25.769,70.374,NA,"PRESENT",5000,NA,NA
"Betula nana L.",25.358,70.639,NA,"PRESENT",5000,NA,NA
"Betula nana L.",24.088,69.375,NA,"PRESENT",1000,NA,NA
"Betula nana L.",23.792,69.244,NA,"PRESENT",1000,NA,NA
"Betula nana L.",24.74,68.264,NA,"PRESENT",100,NA,NA
"Betula nana L.",23.882,68.406,NA,"PRESENT",1000,NA,NA
"Betula nana L.",22.552,60.853,NA,"PRESENT",1000,NA,NA
"Betula nana L.",6.617,47.016,NA,"PRESENT",3535,NA,NA
"Betula nana L.",6.683,46.971,NA,"PRESENT",3535,NA,NA
